SOLAR_RADIATION,PRECIPITATION,WIND_SPEED,LEAF_WETNESS,HC_AIR_TEMPERATURE,HC_RELATIVE_HUMIDITY,DEW_POINT
79.0,0.0,1.6,0.0,15.9,0.0,0.0
0.0,0.0,1.5,0.0,14.7,0.0,0.0
0.0,0.0,1.0,0.0,13.73,0.0,0.0
0.0,0.0,0.6,0.0,12.92,0.0,0.0
0.0,0.0,1.7,0.0,12.42,0.0,0.0
0.0,0.0,2.5,0.0,12.19,0.0,0.0
0.0,0.0,2.7,0.0,11.85,0.0,0.0
0.0,0.0,3.4,0.0,11.47,0.0,0.0
0.0,0.0,3.3,0.0,11.23,0.0,0.0
0.0,0.0,3.1,0.0,10.86,0.0,0.0
0.0,0.0,2.5,0.0,10.51,0.0,0.0
20.0,0.0,1.9,0.0,10.51,0.0,0.0
98.0,0.0,1.8,0.0,10.75,0.0,0.0
222.0,0.0,1.8,0.0,11.64,0.0,0.0
355.0,0.0,1.8,0.0,13.0,0.0,0.0
442.0,0.0,1.9,0.0,14.63,0.0,0.0
518.0,0.0,2.1,0.0,15.66,0.0,0.0
759.0,0.0,2.5,0.0,16.68,0.0,0.0
913.0,0.0,2.1,0.0,17.89,0.0,0.0
619.0,0.0,2.2,0.0,17.86,0.0,0.0
35.0,5.2,2.1,25.0,12.86,22.85,0.0
77.0,0.6,0.5,60.0,12.01,43.52,4.9
72.0,0.4,0.0,60.0,12.39,15.59,1.8
28.0,0.4,0.2,60.0,12.19,71.77,0.0
